19:23:31 | INFO     | UDPReceiver | udp_receiver.py:151 | 接收新帧 11，总长度 22500 字节
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:105 | 帧 11 已接收完整，尝试拼接
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:115 | 帧 11 拼接成功，已更新最新帧数据
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:151 | 接收新帧 12，总长度 22500 字节
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:105 | 帧 12 已接收完整，尝试拼接
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:115 | 帧 12 拼接成功，已更新最新帧数据
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:151 | 接收新帧 13，总长度 22500 字节
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:105 | 帧 13 已接收完整，尝试拼接
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:115 | 帧 13 拼接成功，已更新最新帧数据
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:151 | 接收新帧 14，总长度 22500 字节
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:105 | 帧 14 已接收完整，尝试拼接
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:115 | 帧 14 拼接成功，已更新最新帧数据
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:151 | 接收新帧 15，总长度 22500 字节
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:105 | 帧 15 已接收完整，尝试拼接
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:115 | 帧 15 拼接成功，已更新最新帧数据
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:151 | 接收新帧 16，总长度 22500 字节
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:105 | 帧 16 已接收完整，尝试拼接
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:115 | 帧 16 拼接成功，已更新最新帧数据
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:151 | 接收新帧 17，总长度 22500 字节
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:105 | 帧 17 已接收完整，尝试拼接
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:115 | 帧 17 拼接成功，已更新最新帧数据
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:151 | 接收新帧 18，总长度 22500 字节
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:105 | 帧 18 已接收完整，尝试拼接
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:115 | 帧 18 拼接成功，已更新最新帧数据
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:151 | 接收新帧 19，总长度 22500 字节
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:105 | 帧 19 已接收完整，尝试拼接
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:115 | 帧 19 拼接成功，已更新最新帧数据
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:151 | 接收新帧 20，总长度 22500 字节
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:105 | 帧 20 已接收完整，尝试拼接
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:115 | 帧 20 拼接成功，已更新最新帧数据
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:151 | 接收新帧 21，总长度 22500 字节
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:105 | 帧 21 已接收完整，尝试拼接
