20:19:44 | WARNING  | MainApp | app.py:19 | 无法获取视频流数据，正在重试...
20:19:45 | WARNING  | MainApp | app.py:19 | 无法获取视频流数据，正在重试...
20:20:47 | WARNING  | MainApp | app.py:19 | 无法获取视频流数据，正在重试...
20:20:48 | WARNING  | MainApp | app.py:19 | 无法获取视频流数据，正在重试...
20:20:49 | WARNING  | MainApp | app.py:19 | 无法获取视频流数据，正在重试...
20:22:37 | WARNING  | MainApp | app.py:19 | 无法获取视频流数据，正在重试...
20:22:38 | WARNING  | MainApp | app.py:19 | 无法获取视频流数据，正在重试...
20:22:39 | WARNING  | MainApp | app.py:19 | 无法获取视频流数据，正在重试...
20:24:56 | WARNING  | MainApp | app.py:19 | 无法获取视频流数据，正在重试...
20:24:57 | WARNING  | MainApp | app.py:19 | 无法获取视频流数据，正在重试...
20:24:58 | WARNING  | MainApp | app.py:19 | 无法获取视频流数据，正在重试...
20:28:20 | WARNING  | MainApp | app.py:19 | 无法获取视频流数据，正在重试...
20:28:21 | WARNING  | MainApp | app.py:19 | 无法获取视频流数据，正在重试...
20:29:02 | WARNING  | MainApp | app.py:19 | 无法获取视频流数据，正在重试...
20:29:03 | WARNING  | MainApp | app.py:19 | 无法获取视频流数据，正在重试...
20:29:04 | WARNING  | MainApp | app.py:19 | 无法获取视频流数据，正在重试...
20:29:05 | WARNING  | MainApp | app.py:19 | 无法获取视频流数据，正在重试...
20:30:11 | WARNING  | MainApp | app.py:19 | 无法获取视频流数据，正在重试...
20:30:12 | WARNING  | MainApp | app.py:19 | 无法获取视频流数据，正在重试...
20:30:13 | WARNING  | MainApp | app.py:19 | 无法获取视频流数据，正在重试...
20:30:38 | WARNING  | MainApp | app.py:19 | 无法获取视频流数据，正在重试...
20:30:39 | WARNING  | MainApp | app.py:19 | 无法获取视频流数据，正在重试...
20:30:40 | WARNING  | MainApp | app.py:19 | 无法获取视频流数据，正在重试...
20:30:41 | WARNING  | MainApp | app.py:19 | 无法获取视频流数据，正在重试...
21:16:09 | WARNING  | MainApp | app.py:19 | 无法获取视频流数据，正在重试...
21:16:10 | WARNING  | MainApp | app.py:19 | 无法获取视频流数据，正在重试...
21:16:11 | WARNING  | MainApp | app.py:19 | 无法获取视频流数据，正在重试...
21:16:12 | WARNING  | MainApp | app.py:19 | 无法获取视频流数据，正在重试...
21:17:40 | WARNING  | MainApp | app.py:19 | 无法获取视频流数据，正在重试...
21:17:41 | WARNING  | MainApp | app.py:19 | 无法获取视频流数据，正在重试...
21:17:42 | WARNING  | MainApp | app.py:19 | 无法获取视频流数据，正在重试...
21:17:43 | INFO     | MainApp | app.py:28 | 成功获取并编码一帧视频数据，正在发送...
21:17:43 | INFO     | MainApp | app.py:28 | 成功获取并编码一帧视频数据，正在发送...
21:17:43 | INFO     | MainApp | app.py:28 | 成功获取并编码一帧视频数据，正在发送...
21:17:43 | INFO     | MainApp | app.py:28 | 成功获取并编码一帧视频数据，正在发送...
21:17:43 | INFO     | MainApp | app.py:28 | 成功获取并编码一帧视频数据，正在发送...
21:17:43 | INFO     | MainApp | app.py:28 | 成功获取并编码一帧视频数据，正在发送...
21:17:43 | INFO     | MainApp | app.py:28 | 成功获取并编码一帧视频数据，正在发送...
