16:11:53 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 16 拼接成功，已更新最新帧数据
16:11:53 | INFO     | UDPReceiver | rm_logger.py:154 | 接收新帧 17，总长度 22500 字节
16:11:55 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 17 已接收完整，尝试拼接
16:11:55 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 17 拼接成功，已更新最新帧数据
16:11:55 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 17 已成功拼接，准备显示
16:11:55 | INFO     | UDPReceiver | rm_logger.py:154 | 接收到新帧 18，当前帧 17 已完成接收，尝试拼接上一帧
16:11:55 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 17 已接收完整，尝试拼接
16:11:55 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 17 拼接成功，已更新最新帧数据
16:11:55 | INFO     | UDPReceiver | rm_logger.py:154 | 接收新帧 18，总长度 22500 字节
16:11:57 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 18 已接收完整，尝试拼接
16:11:57 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 18 拼接成功，已更新最新帧数据
16:11:57 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 18 已成功拼接，准备显示
16:11:57 | INFO     | UDPReceiver | rm_logger.py:154 | 接收到新帧 19，当前帧 18 已完成接收，尝试拼接上一帧
16:11:57 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 18 已接收完整，尝试拼接
16:11:57 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 18 拼接成功，已更新最新帧数据
16:11:57 | INFO     | UDPReceiver | rm_logger.py:154 | 接收新帧 19，总长度 22500 字节
16:11:58 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 19 已接收完整，尝试拼接
16:11:58 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 19 拼接成功，已更新最新帧数据
16:11:58 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 19 已成功拼接，准备显示
