17:31:35 | INFO     | CoreService | core_service.py:125 | 测试发布完成，topic=CustomControl
17:32:03 | INFO     | CoreService | core_service.py:59 | CoreService 已在后台启动（非阻塞模式）
17:35:37 | INFO     | CoreService | core_service.py:59 | CoreService 已在后台启动（非阻塞模式）
17:39:07 | INFO     | CoreService | core_service.py:59 | CoreService 已在后台启动（非阻塞模式）
17:49:41 | INFO     | CoreService | core_service.py:59 | CoreService 已在后台启动（非阻塞模式）
17:50:17 | INFO     | CoreService | core_service.py:60 | CoreService 已在后台启动（非阻塞模式）
20:59:57 | INFO     | CoreService | core_service.py:61 | 未检测到吊射模式，启用UDP图传数据源
20:59:58 | INFO     | CoreService | core_service.py:58 | 检测到吊射模式，启用MQTT图传数据源
20:59:59 | INFO     | CoreService | core_service.py:58 | 检测到吊射模式，启用MQTT图传数据源
21:00:42 | INFO     | CoreService | core_service.py:61 | 未检测到吊射模式，启用UDP图传数据源
21:00:43 | INFO     | CoreService | core_service.py:58 | 检测到吊射模式，启用MQTT图传数据源
21:00:44 | INFO     | CoreService | core_service.py:58 | 检测到吊射模式，启用MQTT图传数据源
21:00:45 | INFO     | CoreService | core_service.py:58 | 检测到吊射模式，启用MQTT图传数据源
21:00:46 | INFO     | CoreService | core_service.py:58 | 检测到吊射模式，启用MQTT图传数据源
21:00:47 | INFO     | CoreService | core_service.py:58 | 检测到吊射模式，启用MQTT图传数据源
21:00:48 | INFO     | CoreService | core_service.py:58 | 检测到吊射模式，启用MQTT图传数据源
21:00:49 | INFO     | CoreService | core_service.py:58 | 检测到吊射模式，启用MQTT图传数据源
21:00:50 | INFO     | CoreService | core_service.py:58 | 检测到吊射模式，启用MQTT图传数据源
21:00:51 | INFO     | CoreService | core_service.py:58 | 检测到吊射模式，启用MQTT图传数据源
21:00:52 | INFO     | CoreService | core_service.py:58 | 检测到吊射模式，启用MQTT图传数据源
21:00:53 | INFO     | CoreService | core_service.py:58 | 检测到吊射模式，启用MQTT图传数据源
21:00:54 | INFO     | CoreService | core_service.py:58 | 检测到吊射模式，启用MQTT图传数据源
21:00:55 | INFO     | CoreService | core_service.py:58 | 检测到吊射模式，启用MQTT图传数据源
21:00:56 | INFO     | CoreService | core_service.py:58 | 检测到吊射模式，启用MQTT图传数据源
21:00:57 | INFO     | CoreService | core_service.py:58 | 检测到吊射模式，启用MQTT图传数据源
21:00:58 | INFO     | CoreService | core_service.py:58 | 检测到吊射模式，启用MQTT图传数据源
21:01:58 | INFO     | CoreService | core_service.py:61 | 未检测到吊射模式，启用UDP图传数据源
21:01:59 | INFO     | CoreService | core_service.py:58 | 检测到吊射模式，启用MQTT图传数据源
21:02:00 | INFO     | CoreService | core_service.py:58 | 检测到吊射模式，启用MQTT图传数据源
21:02:16 | INFO     | CoreService | core_service.py:61 | 未检测到吊射模式，启用UDP图传数据源
21:02:17 | INFO     | CoreService | core_service.py:58 | 检测到吊射模式，启用MQTT图传数据源
21:02:18 | INFO     | CoreService | core_service.py:58 | 检测到吊射模式，启用MQTT图传数据源
21:02:19 | INFO     | CoreService | core_service.py:58 | 检测到吊射模式，启用MQTT图传数据源
21:02:20 | INFO     | CoreService | core_service.py:58 | 检测到吊射模式，启用MQTT图传数据源
21:02:21 | INFO     | CoreService | core_service.py:58 | 检测到吊射模式，启用MQTT图传数据源
21:03:40 | INFO     | CoreService | core_service.py:61 | 未检测到吊射模式，启用UDP图传数据源
21:03:41 | INFO     | CoreService | core_service.py:58 | 检测到吊射模式，启用MQTT图传数据源
21:04:28 | INFO     | CoreService | core_service.py:61 | 未检测到吊射模式，启用UDP图传数据源
21:04:29 | INFO     | CoreService | core_service.py:58 | 检测到吊射模式，启用MQTT图传数据源
21:04:30 | INFO     | CoreService | core_service.py:58 | 检测到吊射模式，启用MQTT图传数据源
21:04:31 | INFO     | CoreService | core_service.py:58 | 检测到吊射模式，启用MQTT图传数据源
21:04:32 | INFO     | CoreService | core_service.py:58 | 检测到吊射模式，启用MQTT图传数据源
21:04:33 | INFO     | CoreService | core_service.py:58 | 检测到吊射模式，启用MQTT图传数据源
21:04:34 | INFO     | CoreService | core_service.py:58 | 检测到吊射模式，启用MQTT图传数据源
21:08:49 | INFO     | CoreService | core_service.py:70 | 吊射模式状态未变化，当前状态: 非吊射
21:08:50 | INFO     | CoreService | core_service.py:61 | 检测到吊射模式，启用MQTT图传数据源
21:08:50 | INFO     | CoreService | core_service.py:70 | 吊射模式状态未变化，当前状态: 吊射
21:08:51 | INFO     | CoreService | core_service.py:70 | 吊射模式状态未变化，当前状态: 吊射
21:08:52 | INFO     | CoreService | core_service.py:70 | 吊射模式状态未变化，当前状态: 吊射
21:08:53 | INFO     | CoreService | core_service.py:70 | 吊射模式状态未变化，当前状态: 吊射
21:08:54 | INFO     | CoreService | core_service.py:70 | 吊射模式状态未变化，当前状态: 吊射
21:13:12 | INFO     | CoreService | core_service.py:91 | CoreService 已在后台启动（非阻塞模式）
21:13:13 | INFO     | CoreService | core_service.py:61 | 检测到吊射模式，启用MQTT图传数据源
21:15:00 | INFO     | CoreService | core_service.py:92 | CoreService 已在后台启动（非阻塞模式）
21:15:39 | INFO     | CoreService | core_service.py:58 | None
21:15:39 | INFO     | CoreService | core_service.py:92 | CoreService 已在后台启动（非阻塞模式）
21:15:40 | INFO     | CoreService | core_service.py:58 | None
21:15:41 | INFO     | CoreService | core_service.py:58 | None
21:15:42 | INFO     | CoreService | core_service.py:58 | None
21:15:43 | INFO     | CoreService | core_service.py:58 | None
21:15:44 | INFO     | CoreService | core_service.py:58 | None
21:15:45 | INFO     | CoreService | core_service.py:58 | None
21:15:46 | INFO     | CoreService | core_service.py:58 | None
21:15:47 | INFO     | CoreService | core_service.py:58 | None
21:15:48 | INFO     | CoreService | core_service.py:58 | None
21:15:49 | INFO     | CoreService | core_service.py:58 | None
21:15:50 | INFO     | CoreService | core_service.py:58 | None
21:15:51 | INFO     | CoreService | core_service.py:58 | None
21:15:52 | INFO     | CoreService | core_service.py:58 | None
21:15:53 | INFO     | CoreService | core_service.py:58 | None
21:15:54 | INFO     | CoreService | core_service.py:58 | None
21:16:01 | INFO     | CoreService | core_service.py:58 | None
21:16:01 | INFO     | CoreService | core_service.py:92 | CoreService 已在后台启动（非阻塞模式）
21:16:03 | INFO     | CoreService | core_service.py:58 | None
21:16:04 | INFO     | CoreService | core_service.py:58 | None
21:16:05 | INFO     | CoreService | core_service.py:58 | None
21:16:06 | INFO     | CoreService | core_service.py:58 | None
21:16:07 | INFO     | CoreService | core_service.py:58 | None
21:16:08 | INFO     | CoreService | core_service.py:92 | CoreService 已在后台启动（非阻塞模式）
21:17:09 | INFO     | CoreService | core_service.py:92 | CoreService 已在后台启动（非阻塞模式）
21:17:14 | INFO     | CoreService | core_service.py:62 | 检测到吊射模式，启用MQTT图传数据源
21:17:30 | INFO     | CoreService | core_service.py:58 | None
21:17:30 | INFO     | CoreService | core_service.py:92 | CoreService 已在后台启动（非阻塞模式）
21:17:31 | INFO     | CoreService | core_service.py:58 | None
21:17:32 | INFO     | CoreService | core_service.py:58 | None
21:17:33 | INFO     | CoreService | core_service.py:58 | None
21:17:34 | INFO     | CoreService | core_service.py:58 | None
21:17:35 | INFO     | CoreService | core_service.py:58 | None
21:17:36 | INFO     | CoreService | core_service.py:58 | None
21:17:37 | INFO     | CoreService | core_service.py:58 | None
